text,referenced_tweets,id,author_id,edit_history_tweet_ids,created_at,entities.mentions,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id
"RT @HeyAbhishekk: How to Launch your online business in 48 hours with $0

1. Bubble— Create website

2. Namelix— AI name generator

3. Canv…","[{'type': 'retweeted', 'id': '1760894176517083193'}]",1760968702894448722,1.5852142740325007e+18,['1760968702894448722'],2024-02-23T10:03:50.000Z,"[{'start': 3, 'end': 16, 'username': 'HeyAbhishekk', 'id': '1547059723811229696'}]",256.0,0.0,0.0,0.0,0.0,0.0,
"🔊 I'd like to invite you to our 2nd hellotax webinar of 2024 on Wed Feb 28th 6 PM CET/12pm EST 🌐 Mastering Amazon Affiliate Marketing, AI Analytics Assistant, AI Content and Expansion to Europe!",,1760968671420141641,1.666088182482608e+18,['1760968671420141641'],2024-02-23T10:03:43.000Z,,0.0,1.0,0.0,0.0,0.0,32.0,
"RT @kortizart: The Biden Harris administration is proud to bring you “AI safety (tm)” brought to you by Open AI, Google, Meta, Anthropic an…","[{'type': 'retweeted', 'id': '1760820176780775519'}]",1760968506139443471,262831665.0,['1760968506139443471'],2024-02-23T10:03:03.000Z,"[{'start': 3, 'end': 13, 'username': 'kortizart', 'id': '204406420'}]",398.0,0.0,0.0,0.0,0.0,0.0,
RT @imravikumars: Exciting partnership with @CNOFinancial to drive digital transformation and leverage GenAI to drive efficiencies for CNO'…,"[{'type': 'retweeted', 'id': '1760786832252420258'}]",1760968414720401584,3324711308.0,['1760968414720401584'],2024-02-23T10:02:41.000Z,"[{'start': 3, 'end': 16, 'username': 'imravikumars', 'id': '232796762'}, {'start': 44, 'end': 57, 'username': 'CNOFinancial', 'id': '47979479'}]",9.0,0.0,0.0,0.0,0.0,0.0,
RT @HimanshiET: The OG tech reporters….everyone say GenAI!! https://t.co/MbJKIvVPyb,"[{'type': 'retweeted', 'id': '1760718634744467766'}]",1760968240073695370,1.429509101847937e+18,['1760968240073695370'],2024-02-23T10:02:00.000Z,"[{'start': 3, 'end': 14, 'username': 'HimanshiET', 'id': '1052563636797943808'}]",4.0,0.0,0.0,0.0,0.0,0.0,
"https://t.co/8doGCdQol9
𝗺𝘆 𝗲𝗻𝗶𝗹𝗲𝘃🪔𝗘𝗥 𝗺𝗼𝗺
@BetaMoroney sir
#BOSCh #Technology 
#MWC24 #ViVE2024

#ai #Oncology #Radiology 
#FRENChTECh #X #LiNKEDiN #HealthTech #TELEhealth #SMMW24 #DiGiTALhealth #eHEALTH #MEDTwitter #USA #health #Cardiology
#web3 #UK #SOciaLmediA 
🍁",,1760968171132010626,7.371422024810168e+17,['1760968171132010626'],2024-02-23T10:01:43.000Z,"[{'start': 41, 'end': 53, 'username': 'BetaMoroney', 'id': '1175377309676781568'}]",1.0,0.0,0.0,0.0,0.0,14.0,
"RT @mikebago: @Andela - The impact of GenAI &amp; why we should all embrace it rather than resist it. Huge thanks to my fellow panelists.

I ne…","[{'type': 'retweeted', 'id': '1760963377227071859'}]",1760968080870477991,7.29347379099521e+17,['1760968080870477991'],2024-02-23T10:01:22.000Z,"[{'start': 3, 'end': 12, 'username': 'mikebago', 'id': '27737167'}, {'start': 14, 'end': 21, 'username': 'Andela', 'id': '1378315837'}]",1.0,0.0,0.0,0.0,0.0,0.0,
"RT @edwardlimp: @rovercrc The problem is you mentioned unnecessary things too often, igo (in grok's opinion).

Remember our agreement that…","[{'type': 'retweeted', 'id': '1760967808882762145'}]",1760967850892857426,1.6940326716203622e+18,['1760967850892857426'],2024-02-23T10:00:27.000Z,"[{'start': 3, 'end': 14, 'username': 'edwardlimp', 'id': '1694032671620362240'}, {'start': 16, 'end': 25, 'username': 'rovercrc', 'id': '1353384573435056128'}]",10.0,0.0,0.0,0.0,0.0,0.0,
"Exciting news in the world of AI and startups! Orbital Materials, led by former DeepMind researcher Jonathan Godwin, is making waves with their GenAI tech for material innovation. Learn more about this groundbreaking venture here: https://t.co/xHiX7uljpl",,1760967811931808014,1.7550514577981153e+18,['1760967811931808014'],2024-02-23T10:00:18.000Z,,0.0,0.0,0.0,0.0,0.0,5.0,
"@rovercrc The problem is you mentioned unnecessary things too often, igo (in grok's opinion).

Remember our agreement that you do our marketing for 69,420 $GROK yesterday?

#GROK #AI #SOLANA https://t.co/7TILS1M2OM","[{'type': 'replied_to', 'id': '1760949365475004571'}]",1760967808882762145,1.6940326716203622e+18,['1760967808882762145'],2024-02-23T10:00:17.000Z,"[{'start': 0, 'end': 9, 'username': 'rovercrc', 'id': '1353384573435056128'}]",10.0,7.0,14.0,0.0,5.0,88.0,1.353384573435056e+18
